from,to,namespace,comment
I-I.A.G.G.E.R.??,Huns,0,revert
Linnaean taxonomy,Linnaen taxonomy,0,"page history merge, do not revert, will be back at correct title soon"
Trilobita,Trilobite,0,move back to correct title
Mohanganj,Mohanganj Upazila,0,"per convention, over redirect"
German loan words,List of English words of German origin,0,per other articles
Swiss Italian,Swiss Italian (linguistics),0,
Swiss French,Swiss French (linguistics),0,To differentiate from the [[Swiss French people]]
Huanghua County,"Huanghua, Hebei",0,
My Turn,My Turn (disambiguation),0,disambig page
Taylor Hayes Marone,Taylor Hayes (The Bold and the Beautiful),0,Common name.
"ISRO Telemetry, Tracking and Command Network","Indian Space Research Organisation Telemetry, Tracking and Command Network",0,full name
"Eltham, London",Eltham,0,[[WP:CSD#G6|Housekeeping page move]]
Metal Gear: Ghost Babel,Metal Gear Solid (Game Boy),0,"referred to as Metal Gear Solid in all English media, released in English as Metal Gear Sold"
The Muse (disambiguation),The Muse,0,
German XVIII Corps,XVIII Corps (Germany),0,
Japanese migration the United Kingdom,Japanese migration to the United Kingdom,0,"Left out ""to""!"
Super Junior-H,Super Junior-Happy,0,Official name
Romanian migration to Britain,Romanian migration to the United Kingdom,0,Per WP:MoS - proper name of country.
Ganbaatar Tögsbayar,Ganbaataryn Tögsbayar,0,another fix towards [[WP:MON]]
Weiße Elster,Weisse Elster River,0,conform to English Wikipedia naming conventions using transliterated names... unicode characters in name make it unsearchable in 26 letter Roman alphabet
William Stafford (1500-1556),"William Stafford, Lord Chebsey",0,Incorrect dates
M576 40mm grenade,M576 40 mm grenade,0,
Funny Games (2008 film),Funny Games U.S.,0,main name
Hot Rod (Transformers)/Rodimus,Rodimus,0,"This page has character ONLY called Rodimus, not Hot Rod."
New Islamabad International Airport,Benazir Bhutto International Airport Islamabad,0,name changed
Lady William Cavendish-Bentinck,Lady Anne Cavendish-Bentinck,0,
Don Walker (musician),Don Walker,0,History merge
Colonel Sanders,Harland Sanders,0,"Per Wikipedia policy - titles of articles for living people do not include honorifics, per discussion on talk page."
"Cairo, Ohio","Cairo, Allen County, Ohio",0,"There is another Cairo at Cairo, Stark County, Ohio"
Hisense Arena,Vodafone Arena,0,Name has not changed yet
5000 metres,5000 meters,0,"The article uses meters. Either way, article name must be consistent of its content."
Gurudeva,Gurudeva (disambiguation),0,It is a disambig page should follow MoS
Robbie Neville,Robbie Nevil,0,[[WP:RM]] uncontroversial
Y-ME,Breast Cancer Network of Strength,0,"Organization changed its name, see: http://www.networkofstrength.org/media/releases/brand-release.pdf"
Ainu people on railss,Ainu people,0,rvv
Cincinnati Conservatory,Cincinnati Conservatory of Music,0,"full name
"
Thomas Hope (disambiguation),Thomas Hope,0,[[WP:CSD#G6|Housekeeping page move]]
Toyota Tundra 200,Camping World RV Sales 200,0,sponsorship change
The Titans (disambiguation),The Titans,0,[[WP:CSD#G6|Housekeeping page move]]
In Silico (Pendulum album),In Silico (album),0,"Do not pre-emptively disambiguate, per [[WP:ALBUM]]."
H***A***G***G***R***E??,Red,0,"Reverting possible vandalism by [[Special:Contributions/Nillon0|Nillon0]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (414908) (Bot)"
H-A-G-G-R-E?,Greek alphabet,0,
Campus Law Enforcement in Oregon,Campus law enforcement in Oregon,0,capitalization
ARY (disambiguation),ARY,0,"Per [[Wikipedia:Disambiguation#Page_naming_conventions]], the disambiguation page should be located at ""Term"", not ""Term (disambiguation)"""
Sean Cannon,Seán Cannon,0,per article
Bendogo,"Bendogo, Ganzourgou",0,
List of characters in Ghost in the Shell,List of Ghost in the Shell characters,0,rename per MoS
Viva Aerobus,VivaAerobus,0,no space in the name
Pedro A Cortés,Pedro A. Cortés,0,Mr. Cortés uses a period after his middle initial.
Adel,Adel (disambiguation),0,
"Edward Nevill, 1st Baron Bergavenny","Edward Nevill, 1st Baron Bergavenny (second creation)",0,
Tawhid (islamic monothesim),Tawhid (Islamic Monotheism),0,
A Bit of Fry and Laurie,A Bit of Fry & Laurie,0,as it appears
Mandom Corporation,Mandom,0,
"Princes Bridge, Melbourne",Princes Bridge (Melbourne),0,
Fußball-Bundesliga 1966-67,Fußball-Bundesliga 1966–67,0,Bot:Replacing hyphen in date range with en dash per [[WP:MOS#En_dashes|MOS]]
Contact Centre (Desambiguation),Contact centre (disambiguation),0,
Chilling Effects,Chilling Effects (group),0,"This group can easily be confused by the term ""Chilling effect"" which denotes stifling free speech.  Therefore this article is moved and a disambiguation is created."
Brass plates,Brass Plates,0,req
Jeff Clarke,Jeff Clarke (disambiguation),0,
Snake Tales (comic strip),Snake Tales,0,unnecessary disambiguation
John Paul Sr.,"John Paul, Sr.",0,punctuation correction
List of Utah State Routes,List of state highways in Utah,0,"""Utah State Routes"" is not a proper noun."
New Zealand—Russia relations,New Zealand – Russia relations,0,replaced mdash with ndash
Unborn (film),The Unborn (film),0,Official title
Chet given name,Chet (given name),0,
Rockstar (Poison single),Rockstar (Poison song),0,naming conventions
Energy FM 91.5,DWKY,0,naming conventions
Southtown Star,SouthtownStar,0,
Attack of the Mutant (PC Game),Attack of the Mutant (video game),0,naming conventions
Gulzar (lyricist),Gulzar,0,[[Gulzar (disambiguation)]] is the dab page
Dalip Singh,Dalip Singh (disambiguation),0,Multiple People with the Same Name.
Cirque nouveau,Contemporary Circus,0,more precise title based on current usage
Argentina – Russia relations,Argentina–Russia relations,0,remove spacing
Topical outline of law,List of basic law topics,0,revert self
"Winterport, Maine","Winterport (town), Maine",0,Moving to old title because of recreation of CDP article: see CDP talk page
John Bassett,John Bassett (publisher),0,Many JBs
Thomas Bates,Thomas Bates (conspirator),0,More than one TB
Ì-ÌAGGER??,Ku Klux Klan,0,revert
Ì-Ì...A...G...G...E...R?,Pythagorean theorem,0,revert
The Bandy Papers,Bartholomew Bandy,0,"This article was originally listed under ""Bartholomew Bandy"". A later editor moved it to ""The Bandy Papers"", but there seemed no sufficient reason for changing the title, as there are many other fictional characters in Wikipedia. Also, any Bandy Papers ma"
Romema (Jerusalem),"Romema, Jerusalem",0,DAB
Rosh,Rosh (disambiguation),0,
Tangles,Tangle (TV series),0,disambig
June bugs are funny. They get in the house and bump into the television screen while I’m watching the first Indiana Jones movie.,Phyllophaga (genus),0,"Reverting possible vandalism by [[Special:Contributions/Nergality|Nergality]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (425579) (Bot)"
Henry Gordon (disambiguation),Henry Gordon,0,req
Patton Boggs LLP,Patton Boggs,0,convention
33179 Arsènewenger,33179 Arsenewenger,0,"While [[Arsène Wenger]] has an accent in his name, the asteroid named after him does not"
List of Bishops of Chichester and precursor offices,List of bishops of Chichester and precursor offices,0,Capitalization
List of archbishops of York,List of Archbishops of York,0,"Name is a title, properly should be capitalized."
List of bishops of Worcester,List of Bishops of Worcester,0,"Name is a title, properly should be capitalized."
List of bishops of Durham,List of Bishops of Durham,0,"Name is a title, properly should be capitalized."
List of Marquesses in the Peerage of the United Kingdom,List of marquesses in the peerage of the United Kingdom,0,Capitalization
List of earls and countesses in the Peerage of the United Kingdom,List of earls and countesses in the peerage of the United Kingdom,0,Capitalization
Green v. County School Board,Green v. County School Board of New Kent County,0,full case name
Radio Luxembourg (German),Radio Luxemburg,0,"""Luxemburg"" was the German version used for this channel."
Lavi (kibbutz),Lavi,0,No need for DAB
Kamarupa (History),Kamarupa (Historical kingdom),0,"I thought this meant history of the philosophical concept - this will be clearer, I hope"
List of Hindu gurus and saints,List of Hindu gurus,0,"rm ""saint"""
List of baronies in the peerage of England,List of Baronies in the Peerage of England,0,revert
List of baronies in the peerage of Great Britain,List of Baronies in the Peerage of Great Britain,0,revert
List of baronies in the peerage of Ireland,List of Baronies in the Peerage of Ireland,0,revert
List of abbots of Glastonbury,List of Abbots of Glastonbury,0,revert
Santa's Village,Santa's Village (disambiguation),0,
Tammuz (month),Tammuz (Hebrew calendar),0,fixing c-p move
Bingo Night Live/Temp,Bingo Night Live,1,Overwriting copyvio article with temporary page from scratch
The Maid (Seinfeld episode),The Maid (Seinfeld),0,
Eduardo Dato Iradier,Eduardo Dato y Iradier,0,
List of Heads of State of Latvia,List of heads of state of Latvia,0,Capitalization
List of Beyblade 2002 Episodes,List of Beyblade 2002 episodes,0,Capitalization
Brand Nubian,Brand Nubian (hip hop group),0,The name also refers to the 2 unrelated songs with the same title as the band that did both of them.
Augustów Governorate,Avgustov Governorate,0,per [[Lwów Voivodeship]]
Piotrków Governorate,Petrokov Governorate,0,
"Sir Albert Charles Gladstone, 5th Baronet, of Fasque","Sir Albert Gladstone, 5th Baronet",0,
"Sir Thomas Gladstone, 2nd Baronet, of Fasque","Sir Thomas Gladstone, 2nd Baronet",0,
Ed Williams,Ed Williams (actor),0,dab page restoration
Crazy Legs (disambiguation),Crazylegs,0,
Middle man (Disambiguation),Middle man (disambiguation),0,fix capitalisation as style guide
List of Metropolitan Regions by Intentional Homicide Totals,List of metropolitan regions by intentional homicide totals,0,
Wal-Mart,Walmart*,0,
"""Bad News Blair""",Bad News Blair,0,rm quotes
General Michael Nicolaivitch Annenkoff,Michael Annenkoff,0,-convention
Suite of Dances (from Dybbuk Variations),Suite of Dances (from “Dybbuk Variations”),0,punctuation
.ł-ł.A.G.G.E.R?.?,Roman Catholic Church,0,repairing pagemove vandalism...
IAA,IAA (disambiguation),0,
Alaska native arts foundation,Alaska Native Arts Foundation,0,caps
Emma hayes,Emma Hayes,0,
Abongo Obama,Malik Obama,0,"alogn usage with prestigious sources. (Known in ""Dreams of My Father"" as Abongo or Roy Obama, Barack's older brother is termed Malik Obama in reports by ABC News, etc.)"
Bank Street,Bank Street (disambiguation),0,to make way for Bank Street page move
Paulina (name),Paulina (disambiguation),0,other meanings too
"2nd Battalion, 7th Marine Regiment",2nd Battalion 7th Marines,0,revert page move made without consensus
Julio Argentino Roca,Alejo Julio Argentino Roca,0,
Clarisa Fernández,Clarisa Fernandez,0,[[Wikipedia:Requested_moves/Tennis]]
Laing E. Kennedy,Laing Kennedy,0,"More well-known as ""Laing Kennedy"" (4700 g-hits) than ""Laing E. Kennedy"" (151 g-hits)"
Inside Out (Into A Circle song),Inside Out (Into a Circle song),0,capitalization as per the Manual of Style
We have a technical,We Have a Technical,0,wp:capitalization
Magnoliids,Magnoliidae,0,article merge
Alan Johnson (British intellectual),Alan Johnson (political theorist),0,better tag
Duong Dong Airport,Phu Quoc Airport,0,official name
North German lowlands,North German plain,0,proper name for the region in English
Concordia Class,Concordia class cruise ship,0,Ship naming convention
David Matranga (voice actor),David Matranga,0,"The article David Matranga has been deleted, so this page can be moved to David Matranga."
Montgomery station,Montgomery station (disambiguation),0,"
"
Law of nature,Law of nature (disambiguation),0,former title should redirect
Evenk Autonomous Okrug,Evenkiysky District,0,per new Charter of Krasnoyarsk Krai
A………G………G………E………R??,Incest,0,Reverting Vandal Page Move
Samsung M620,Samsung SPH-M620,0,standardize names
Jeff Jackson (disambigution),Jeff Jackson (disambiguation),0,Page title incorrectly spelled. Moving to correct page
Spells of Dungeons & Dragons,Magic of Dungeons & Dragons,0,request at [[WP:RM]]
Live at the Palladium (Carpenters album),Live at the Palladium (The Carpenters album),0,per main
World Heavyweight Championship,World heavyweight wrestling championship,0,going to refactor nonwrestling into simple dab page
.ŧŧA…G…G…E…R??,Kurt Cobain,0,reverting pagemove vandalism
Fogo Island,"Fogo Island, Newfoundland",0,making space for disambiguation
H.AGGOS (with “ER” instead of “OS”)?,Extraterrestrial life,0,Undo page move vandalism
Alien registration card,Alien registration in Japan,0,
New Statesmen (comic),New Statesmen (comics),0,[[WP:NCC]]
List of celebrity guest stars on Sesame Street,List of guest stars on Sesame Street,0,"""Celebrity"" is a POV term"
JessieJames,Jessie James (singer),0,fix title
John Fleck (disambiguation),John Fleck,0,misplaced disambig
Diocese of Iglesias,Roman Catholic Diocese of Iglesias,0,
Buy 'N Large,Buy n Large,0,"""Buy n Large"" is the official name of the corp, per the WALL-E production notes at http://adisney.go.com/disneypictures/wall-e/media/downloads/WALLEProductionNotes.pdf"
Bibliography of Prem Rawat and his organizations,Bibliography of Prem Rawat and related organizations,0,moved per approved talk page suggestion
The Wiener's Circle,The Wieners Circle,0,"changed to official spelling
"
The Very Best of Johnny Hates Jazz,The Very Best of Johnny Hates Jazz (1993 album),0,There's a second album with the very same name.  The second was released a decade later.
"VICE ADMIRAL SARWAR JAHAN NIZAM,ndu, psc",Sarwar Jahan Nizam,0,article naming conventions
Australian 18th Battalion,18th Battalion (Australia),0,The proper way to disambiguate a military unit in Wikipedia is to place the country name in parenthesis after the unit title\description.
Lichtenstein,"Lichtenstein, Germany",0,"per WP policy, countries maintain the top-level names"
Grand prix motorcycle,Grand Prix Motorcycles,0,history merge
Xscape (band),Xscape (group),0,"a band plays instruments, like the beetles etc. This is a singing group."
Don't Wanna Go to Bed Now (song),Don't Wanna Go to Bed Now,0,Doesn't need disambiguation
Mormonism and Christianity,Christianity and Mormonism,0,alphabetical
List of Japanese Dragon Ball episodes,List of Dragon Ball episodes (series),0,rename pending merge
Big Bertha (disambiguation),Big Bertha,0,fixing misplaced dab page
List of Kiba characters,List of Kiba characters (version 2),0,get away from incoming move
Archdiocese of Palo,Roman Catholic Archdiocese of Palo,0,
ETPtv,WKOP-TV,0,"This is just a two-station group, so the main station should be the article name."
Mimi Fox/Temp,Mimi Fox,1,"Replacing copyright violation with ""clean"" version."
James Dawkins,James Dawkins (disambiguation),0,revert
Peter Roberts (disambiguation),Peter Roberts,0,"fixing misplaced dab page, see [[WP:MDP]]"
Haridas (disambiguation),Haridas,0,"fixing misplaced dab page, see [[WP:MDP]]"
Common land,Commons,0,merging history with old article that was text-merged in almost a year ago (will be back to this location momentarily)
Roach Motel,Roach Motel (insect trap),0,leave plain name for disambig
Santa Bahía de Pedernales,"Pedernales, Dominican Republic",0,reverted incorrect name
Garni,Garrni,0,correct spelling
Herman Schnieder,Herman Schneider,0,name was mis-spelled
Kaiser Wilhelm II of Germany,Wilhelm II of Germany,0,rv - discuss this first
Srem District,Syrmia District,0,Anglifying. Per Vukovar-Syrmia County.
Mangalkavya,Mangala Kavya,0,This is the correct English spelling.
Valentine Browne,Valentine Browne (disambiguation),0,
Charles de Gaulle International Airport,Paris-Charles de Gaulle Airport,0,This is the actual name of the airport (from French: Aeroport Paris-Charles-de-Gaulle)
"Gödel, Escher, Bach",Goedel Escher Bach,0,history  merge
Alan Massey (sailor),Alan Massey (Royal Navy officer),0,"More appropriate terminology, & consistent with other pages"
Ferdinand von Zeppelin,Count Ferdinand von Zeppelin,0,"He was a Count, wasn't he?"
Babalon AD (So Glad for the Madness),Babalon A.D. (So Glad for the Madness),0,
England/County,English Counties,0,history merge
English Counties,County (England),0,history merge
Dawa Tsering,Dawa Tsering (politician),0,
Nabatean kingdom,Nabataean kingdom,0,"Both spellings seem to be used in equal proportions (try Google). Then I went to the ""Encyclopedia Britannica"" and they seem to use ""Nabataean"". In my eyes this settles the issue."
South Yemen,People's Democratic Republic of Yemen,0,"The reason is that there was an independent Arab state, a mamber of the UN and a big nomber of international organisations, a subject of the international law, presented on all maps and issuing post stamps with its legal name - the People's Democratic Rep"
The Doha Agreement,Doha Agreement,0,
Bill Henderson (disambiguation),Bill Henderson,0,[[WP:CSD#G6|Housekeeping page move]]
Der Letzte Tag (song),Der letzte Tag (song),0,To fix German capitalisation
KAUG,KAUG (FM),0,"disambiguating
"
Mirko fait,Mirko Fait,0,capitalization of last name
Phospholipase C (disambiguation),Phospholipase C,0,
William S. Jackson,William Schuyler Jackson,0,Disambiguated.
Peterhof(f) (disambiguation),Peterhof (disambiguation),0,
Zuniga,Zuniga (genus),0,disambig
Electricity on Shabbat,Electricity on Shabbat in Jewish law,0,sspecify
Doda's discography,Doda discography,0,Per [[WP:MOS]]
Koichi Sato,Kōichi Satō,0,long vowel
Nazi Party,NSDAP,0,history merge
Lucky charms (disambiguation),Lucky Charms (disambiguation),0,capitalisation (my error)
HA66ER?,Black market,0,revert
John Marshall (filmmaker)/Temp,John Marshall (filmmaker),1,"Deleting extensive copyvios, peppered through history from various sources"
Sheffield Medical School/Temp,Sheffield Medical School,1,Replacing copyvio version.
Mozart,Wolfgang Amadeus Mozart,0,revert
Quaid-i-Azam House,Quaid-e-Azam House,0,
Edmund Alfred Drake-Brockman,Edmund Drake-Brockman,0,more commonly used name
Vienna,Vienna (disambiguation),0,"history merge, do not revert, will be back at correct title soon"
Dominique de Menil,Dominique de Ménil,0,Correct spelling
United States history,History of the United States,0,revert
Pollyanna (film),Pollyanna (disambiguation),0,"its a disambig, so it should be titled as one."
H`.*.G```G```E```R?,Politics,0,revert
Sergey Andreyev,Sergey Andreyev (footballer),0,to create disambig
"H.*.G,G,E,R?",Psychiatry,0,revert
"H.*.G,,G,,E,,R?",Medicine,0,revert
"H.*.G,,,G,,,E,,,R??",Western culture,0,revert
"H.*.G,,,G,,,E,,,R?",Eastern world,0,revert
R-39,R39,0,
Jimmy Boyle,James Boyle (disambiguation),0,to cover all names on it
Gibbs Museum of Pioneer and Dakotah Life,Heman Gibbs Farmstead,0,move to nrhp name; keep redirect from old name
Kosovo-Russia relations,Kosovo–Russia relations,0,replaced - with –
Simple API for XML,SAX,0,"SAX is the official name, Simple API for XML is just what it stands for. We don't spell out Ajax in the article's name, do we?"
Kraków,Cracow,0,"history merge, will be back at correct title soon"
"Moca, Dominican Republic","Moca, Espaillat",0,
"Pedernales, Dominican Republic","Pedernales, Pedernales",0,
CHCM-AM,CHCM (AM),0,"-AM is not ""the naming structure of other radio call signs""; there's no such thing as a -AM suffix in broadcasting."
Santa Cruz de Mao,"Mao, Dominican Republic",0,reverted
John McLean (football),John McLean (American football),0,correct title style
Carl Gustav Jung,Carl Jung,0,revert
List of Iranian Britons,List of British Iranians,0,move to reflect move of [[British Iranians]] (see that article's talk page)
Food 4 Less & Foods Co.,"Food 4 Less, Foods Co.",0,to reflect correct name
№ 485 Squadron RNZAF,No. 485 Squadron RNZAF,0,Common name
Antonio Aguilar,Antonio Aguilar Barraza,0,
List of Medal of Honor recipients for the American Civil War: A-L,List of American Civil War Medal of Honor recipients: A-F,0,Better title
Old Government Buildings (Wellington),"Old Government Buildings, Wellington",0,Typical Wikipedia naming key
Saskatoon Symphony Orchestra/Temp,Saskatoon Symphony Orchestra,0,Replacing copyright vio version
Break it down,Break it Down,0,Down needs to be capitalized.
Position of the arms,Position of the arms in ballet,0,More accurate article title
St. Michael's Cave/Temp,St. Michael's Cave,1,Overwriting copyvio version.
Kevin Jonas,Kevin Jonas/version 2,0,get away from incoming move
Q Celtic,Q-Celtic hypothesis,0,Per comment on talk page
Ranger Lake,Ranger Lake (Ohio),0,Move-rename to disambiguate from Ranger Lake in other US states
Got to Get You into My Life,Got To Get You into My Life,0,"""To"" is in the infinitive verb form, here.  If ""to"" were a preposition, it oughtn't be capitalized, but... it isn't, so it needs capitalization."
Milan - Malpensa Airport,Malpensa International Airport,0,no consensus to change
Busted (disambiguation),Busted,0,per MoS
Friedhelm Hardy/Temp,Friedhelm Hardy,1,Replacing version with extensive copyrighted material.
Kehoe,Kehoe (surname),0,make room for dab page
MHD (TV network),Palladia,0,"The name of the network has changed effective September 1, 2008"
Jill Fm,Jill-FM,0,
Forever Amber,Forever Amber (novel),0,"moving book, preparing to split article"
Argentine-South Korean relations,Argentina–South Korea relations,0,standardised naming
Ferdynand Arczyński/Temp,Ferdynand Arczyński,1,"temp delete to make way for move, rewritten coyvio"
Stefan Jagodziński/Temp,Stefan Jagodziński,1,"temp delete to make way for move, rewritten copyvio"
Chilean-Greek relations,Chile–Greece relations,0,wp:dash
Armenian-Canadian relations,Armenia–Canada relations,0,wp:dash
Casio Wave Ceptor,Atomic G-Shocks,0,history merge step 6: moving post-cut-and-paste revisions over old title
Surfer Dude,"Surfer, Dude",0,req
Waterloo East railway station,Lodnon Waterloo East railway station,0,this is the proper name of the station
List of numbered highways in Washington,List of Interstate and U.S. Highways in Washington,0,Per FLC
Fatih Mosque,Fatih Mosque (Istanbul),0,
Colleen Stewart,Colleen Smart,0,The name Colleen Stewart was only used by the character for about a week and seems to have been exaggerated greatly by some viewers.
Members of The Fall,List of The Fall members,0,
Christian cult,Christian cult (disambiguation),0,"Explained on talk page of [[Christian cult]] ""Move or merge"""
Daniel Brown (disambiguation),Daniel Brown,0,fixing malplaced dab page
Vijender Vijender,Vijender Kumar,0,His real name
Hilde (Soul Calibur),Hilde (Soulcalibur),0,"According to IGN, Namco insists on the title ""Soulcalibur"" as opposed to ""Soul Calibur"""
Inferno (Soul Calibur),Inferno (Soulcalibur),0,"According to IGN, Namco insists on the title ""Soulcalibur"" as opposed to ""Soul Calibur"""
Aaron bolot,Aaron Bolot,0,capitalisation
Somebody Said a Prayer (song),Somebody Said a Prayer,0,qualifier not needed
Tropical Cyclone Justin (1997),Cyclone Justin (1997),0,per naming conventions
Cognitive Informatics,Cognitive informatics,0,not a proper noun
Boba Fett,Star Wars/Boba Fett,0,history merge
Health science,Health Sciences,0,history merge
Anna Baranska,Anna Barańska,0,correct Polish name
Isole di Elba,Isola di Elba,0,
Grunge music,Grunge Music,0,history  merge
French Horn,Horn (instrument),0,revert
Office Cherifien des Phosphates,Office Chérifien des Phosphates,0,correct name
Along Came a Spider (Alice Cooper album),Along Came a Spider (album),0,
Executive Protection,Executive protection,0,
Nexus 4/Shine,Nexus 4 / Shine,0,Title should have a space ever side of the slash like it's commonly writen.
Liu Xiaobo,Liu Xiaobo (intellectual),0,added [[intellectual]] for disambiguation. not so famous to be main article
Apple,Apple (fruit),0,history merge
Uranus,Uranus (disambiguation),0,history merge
Bulgarian-Cyprus relations,Bulgaria–Cyprus relations,0,as per wp:dash
Sino-Bangladeshi relations,Bangladesh–People's Republic of China relations,0,
Military plan,Military operation plan,0,its really about the operation
"Una, Himachal Pradesh","Una, district of Himachal Pradesh",0,"Already a more detailed page by name Una, Himachal Pradesh is existing."
"H,M'M'E,R (with Gs replācing the Ms)",Jail,0,revert
Greatest Hits (Lost episode),Greatest Hits (Lost),0,"no, this is the standard per [[WP:MOSTV#Naming conventions]]"
Port La-Joye / Fort Amherst,Port-la-Joye–Fort Amherst,0,moving to new title that accords with official sources
Sexually transmitted disease/Temp,Sexually transmitted diseases,0,history merge
Mashgiah ruhani,Mashgiach Ruchani,0,req
Adam Resurrected,Adam Resurrected (film),0,there's also a book
KBKO (AM),KBKO,0,exact call letters of a single licensed broadcast radio station and per [[Wikipedia:Disambig]] this type of disambiguation is best handled with a hat note which is now present on the article to be moved here
Mozdok,"Mozdok, Republic of North Ossetia-Alania",0,per [[WP:NC:CITY#Russia]]: non-unique name
Laze & royal,Laze & Royal,0,cap
List of unrecognized countries,List of unrecognised countries,0,correct spelling
Otto Miller (baseball catcher),Otto Miller (catcher),0,[[WP:NC-BASE]]
Gold Coast A-League franchise,Gold Coast United FC,0,The Gold Coast bid has now been accepted and this is what the new club will be called.
Vodka Martini,Vodka martini,0,
Chill Factor,Chill factor,0,
Andrew Prendeville/Temp,Andrew Prendeville,1,Replacing copyvio version with new stub.
Bokujou Monogatari: Waku Waku Animal March,Bokujō Monogatari: Waku Waku Animal March,0,
Style of the Canadian sovereign,Title and style of the Canadian monarch,0,reflect content of article; more in-line with other similar articles
"Italian Empire (entity, 1936–1943)",Italian Empire,0,
"U.S. government response to the September 11, 2001 attacks",U.S. government response to the September 11 attacks,0,inline with mother article
2007 German Open (tennis),2007 Qatar Telecom German Open,0,Discuss this before moving it back.
Х'''а'''г'''г'''е'''р,Origin of religion,0,revert
Art Devlin,Arthur Devlin (disambiguation),0,"Covers all on page
"
Taiwan Beer,Beer in Taiwan,0,[[Wikipedia:Naming conventions (country-specific topics)]]
Sky 2,Sky 2 (defunct channel),0,Move so Sky Two can be moved here
Frances Webb,Frances Salisbury,0,
Siege of Alexandria,Siege of Alexandria (1801),0,"There is at least two famous sieges of Alexandria, of which none should be viewed as premier."
Ҥ––а——ԍ––ԍ——е––г,Theory of everything,0,"Reverting possible vandalism by [[Special:Contributions/Girl Scout cookie|Girl Scout cookie]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (475264) (Bot)"
Shenzhen Shangqingyin,Shenzhen Xiangxue Eisiti,0,
Martha Speaks (TV series),Martha Speaks,0,"""martha speaks"" article does not exist yet"
Local Malay languages,Malay languages,0,term meaningless; generally simply referred to as Malay
Israel national U20 basketball team,Israel national under-21 basketball team,0,
Bhutanatha group of temples,Bhutanatha group,0,Per usage of term in sources.
Ha Jae-hun,Ha Jae-Hun,0,
2007-08 Southern Hemisphere tropical cyclone season,2007–08 Southern Hemisphere tropical cyclone season,0,En-dash
Peabody Energy,Peabody Energy Corporation,0,Right name
York Preparatory School/Temp,York Preparatory School,1,Replacing copyvio version with new article
Thames,Thames (disambiguation),0,history merge to right place
Greatest Hits '93-'03,Greatest Hits '93–'03,0,–
Remixes 1998-2000,Remixes 1998–2000,0,–
The Very Best of the Eagles (2001),The Very Best of The Eagles,0,"caps, dab"
Ciudad real subdivision,Ciudad Real (Manilla),0,Per request at [[WP:RM]]
Titleblacklist ruined everythin'.,Archaea,0,"Reverting possible vandalism by [[Special:Contributions/Mithridates the Great|Mithridates the Great]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (476992) (Bot)"
Hewgyrr,Protist,0,"Reverting possible vandalism by [[Special:Contributions/Ninnys nanobyte|Ninnys nanobyte]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (477009) (Bot)"
Ford Freestar,Ford Freestar/Mercury Monterey,0,to reflect name of both vehicles that the article is for
Posadas,Posadas (disambiguation),0,Proper name
Germany national football team,German national football team,0,
List of Phineas & Ferb Episodes,List of Phineas & Ferb episodes,0,"The word ""episodes"" should be lowercase."
Rai International,Rai Italia,0,"International service has now been renamed 'Raiitalia, television and radio stations now operate under this banner."
...һ....а....Ԍ....Ԍ....е....Ѓ?,Sport,0,"Reverting possible vandalism by [[Special:Contributions/Year20721|Year20721]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (478523) (Bot)"
"Japanese general election, 2009",Next Japanese general election,0,Election may occur in 2008.
Michael Whight/Temp,Michael Whight,1,Revising to address copyvio concerns. No GFDL issues.
U.S. Route 40 Alternate (Hagerstown-Frederick),"U.S. Route 40 Alternate (Hagerstown–Frederick, Maryland)",0,Stupid dashes...
Whip It! (film),Whip It!,0,unnecessary dab
Apostolic Church,Apostolic Church (denomination),0,disambiguation
Avraham Ahituv/Temp,Avraham Ahituv,1,Overwriting copyvio version
Kuzhal Pattu/Temp,Kuzhal Pattu,1,Overwriting version with duplication of copyrighted material; unverified permission.
Yi Wang,Wang Yi (volleyball),0,moved back. this is a [[Chinese name]]; the [[family name]] is [[Wang (surname)|Wang]]
2008–09 United States network television schedule,2008–2009 United States network television schedule,0,"full range, as with other related page titles"
GNU Gettext,GNU gettext,0,only about GNU
Imperial embassies to China,Imperial Japanese embassies to China,0,I can find no indication that the revert of this move was discussed.
Oscar Films,Aaskar Films,0,Company officially changed its name (following a lawsuit)
Melanie layton,Melanie Layton,0,correct capitalisation
WCBI-FM,KPEL-FM,0,
Section Zero (comics),Section Zero,0,"unnecessary dab, per request at [[WP:RM]]"
Migrate(Mariah Carey song),Migrate (Mariah Carey song),0,
Franklin child sex ring allegations,Franklin child prostitution ring allegations,0,New title is less titillating and therefore more appropriate
Resource consumption accounting,Resource Consumption Accounting,0,
St. Christopher Academy- Elementary Department,St. Christopher Academy,0,simplified
Jovan Vraniskovski,Jovan Vraniškovski,0,"correct romanisation of macedonian
"
