article,first main,first talk
North Korean (disambiguation),20170209231725,20081127043304
South Korean (disambiguation),20170209231852,20081129065643
Theodora (11th century),20170211032650,20070405142713
Sensitivity analysis/Archive 1,20170211040246,20161112063015
Katherine MacGregor,20170211182519,20050916212820
Measure museum,20170211223519,20120430053204
Federazione Italiana Pallacanestro,20170212032624,20080904232847
Federazione Italiana Sport Invernali,20170212033751,20100616092719
SCM Pitești,20170212172614,20130728082100
Andy Barclay,20170212175930,20131115215046
IFBB Best in the World,20170212180122,20150917191332
King's Little Jewels Learning Center,20170212180402,20170204083435
List of Minute to Win It: Last Man Standing editions and contestants,20170212180759,20170129045441
Jez Bond,20170212193554,20101101001451
Meese (disambiguation),20170212201938,20170131215757
2014 Thai Division 2 League Southern Region,20170213060202,20140824080525
2014 Thai Division 2 League North Eastern Region,20170213060309,20140824080513
Rasuwa Fort,20170214011530,20061003232731
Bibim guksu,20170214104523,20161224041805
Rare (Gwen Stefani song),20170214154102,20160309165510
Leptagoniates steindachneri,20170214214337,20160630160131
Hurricane Naomi,20170215063110,20051008071055
Hurricane Tara,20170215063328,20051008072658
Hurricane Dalila,20170215070928,20051008042842
Klokot (settlement),20170215135311,20090415061922
British Filipino (United Kingdom),20170215172354,20070228125202
Academy of Science and Design,20170215190348,20080804181818
SP 3-125: Richard Nixon's address announcing his intention to resign the presidency,20170215201134,20141221212249
Xplornet Communications,20170215224156,20150629210058
Raleigh Exec,20170215225445,20130901172416
High grade serous carcinoma,20170216144754,20161011211135
1st Battalion 11th Marines,20170219234444,20060408005639
2009 Regional League Division 2 Bangkok & field Region,20170220083411,20100831234435
2010 Regional League Division 2 Bangkok & field Region,20170220083559,20110111070821
2011 Regional League Division 2 Bangkok & field Region,20170220083908,20110828230048
2017 Kids' Choice Awards,20170220084227,20170116002208
2012 Regional League Division 2 Bangkok & field Region,20170220084315,20120217150718
2013 Regional League Division 2 Bangkok & field Region,20170220084538,20130821152013
2014 Regional League Division 2 Bangkok & field Region,20170220084914,20140824080449
2015 Regional League Division 2 Bangkok & field Region,20170220085150,20150509191221
Barronelle Stutzman,20170221090907,20150308151235
Inmate Calling Service,20170221151643,20170206052336
Naresh Chandra Uttam,20170221201045,20161212053757
Vegalta Sendai Ladies,20170222141722,20130821232351
Praze railway station,20170222171024,20161001012337
"Argishti, Kotayk",20170223010129,20080703212254
List of populated places in Guam,20170223012948,20051031171528
Archibald G. McAlister,20170223013144,20151019060736
Thomas A. Zlaket,20170223032457,20151019061104
Stanley G. Feldman,20170223061224,20151019061057
William A. Holohan,20170223061839,20151019061112
2008/2009 World Tour (Judas Priest),20170223200720,20120224003320
Lordship (Stratford),20170224022409,20091208181024
Vaghela,20170224073557,20060312165701
Joseph L. Hoffmann/Temp,20170224202308,20170222142313
Weixin Shengjiao,20170224215929,20170220182823
Marko Nikolić (football coach),20170225205016,20131207001221
"Nemanja Miletić (footballer, born 1991 in Loznica)",20170225205410,20140526000943
Stony (rapper),20170226005356,20131228135138
Ciaotou District,20170227055218,20090815170855
Cishan District,20170227060200,20090813014811
Stephen Ford (disambiguation),20170227121108,20121026110001
Lenovo Research,20170227142059,20170224082614
Predrag Ranđelović (born 1990),20170228070828,20120624111714
Sir Brian na Múrtha Ó Ruairc,20170228141633,20170223230527
David Trone,20170228164300,20160201042928
Wayang Kulit Indonesia,20170228165538,20160119021554
Nagisa Station,20170301143621,20081126210403
Ghost Story Games,20170301160629,20060318145028
Highlight (South Korean band),20170302021132,20091101145154
Blattellidae,20170302060943,20050518154001
Dards,20170302135917,20060319194834
Bareilly City railway station,20170302143535,20160118012728
Just Like Fore,20170303024805,20160420185720
Micropholcommatidae,20170303170115,20060726231314
Manoj Antani,20170304014932,20090725071223
Are You Watching This?!,20120621160357,20110621151739
USS Gabrielle Giffords,20170304192430,20120211072547
Ada Maddison,20170305081917,20071014031320
Ljubljana Central Alpine Club,20170305100201,20080913172223
"New Moore, or South Talpatti",20170305180159,20070416050539
Ben Thompson (English footballer),20170305185922,20150115122528
Wheels (2014 film),20170306003457,20150210171529
Good and evil,20160611160257,20031012222209
PTU Pathum Thani Seeker F.C.,20170307125726,20141126212522
Chapstick lesbian,20170307193108,20090725232656
Lone Wolf the Elder,20170307213227,20101001181714
Extinct Birds (book),20170307230441,20081004141755
List of awards and nominations received by Lars Von Trier,20170307231223,20170302154346
Desari.,20170307235512,20120426144114
Mirth (disambiguation),20170308012958,20120820120109
Birla Institute of Technology extension Deoghar,20170308111105,20170225001702
Farsley A.F.C.,20170308165433,20100625002207
Moralny Kodex,20170308171522,20061005210631
UniBall,20170309012147,20170301035346
GMA Worldwide,20170309021549,20170301073432
Bonney Field,20170309222453,20140612021028
Chris Lonsdale (disambiguation),20170309230134,20140213153709
Alternative press,20170307035857,20161102220617
Super Kamui,20170310024537,20071007152256
List of international cricket centuries at the University Oval,20170310032315,20161227230908
Prison Break: Resurrection,20170310043320,20170308153804
Cleo (singer),20170310210615,20160418135543
Collicular arteries,20170311152708,20130310164026
1st Battalion 7th Marines,20170311201258,20060408005844
2nd Battalion 7th Marines,20170311201412,20060408011153
When Calls the Heart (TV series),20170311223206,20140313053357
Esteemsters,20170312001703,20070603150707
Fix a Heart,20170312033633,20111117204000
Catherine Joy Marin,20170312072748,20161108163607
Kenny Hasan Sayef,20170312145649,20140201080530
Office Chérifien des Phosphates,20170313142608,20060601232245
Trigeminal trophic lesion,20170313153203,20090324223042
"Faculty of Political Sciences, University of Belgrade",20170313231502,20140531173003
Vityebsk Region,20170314074939,20071103043631
Grivnik Brigade,20170314114626,20061014150238
Handicap (horse racing),20170314124412,20060902132952
Superficial Love (song),20170314142224,20170309154906
Hologram (album),20170314235109,20071206151750
Shadows Over Innistrad,20170315020258,20160509182702
Omar Suleiman (imam),20170302132941,20161127075348
Givi Kiladze Stadium,20170315201738,20101009033114
Carmel Beach Railway Station,20170317062938,20111030102351
Sententiae,20170317072334,20130104203948
Center for Traditional Textiles of Cusco,20170317112937,20160526175643
Henry V of Luxembourg,20170318072046,20080930085102
Sergio Ezequiel Agüero,20170318115034,20170124085509
Destroy angel,20170318181245,20111007112935
John Melbourne Howard (MP for Southampton),20170320110752,20060920022903
Attorney General of Guatemala,20170320232030,20120805043041
Ross Grayson Bell,20170320233415,20170216015640
CKEY-FM,20170321043925,20051020230931
Todd Starke,20170321125414,20161126205516
Alice Cleaver,20170321160527,20131109015425
Katherine Rich (politician),20170321172019,20060814223146
CRIME (security exploit),20170322133717,20120913135149
Gilli-danda,20170322135715,20060921194556
Suribachi (cooking tool),20170322164650,20060818020915
Ugandan Super League,20170322170211,20080130170914
Ugandan Cup,20170322170214,20080130170910
Vegetable Production System,20170322171710,20140416134230
Vincent Kayizi,20170322172844,20090813213055
Pravega Racing,20170322200936,20170319191151
2010 Players' Championships,20170322230204,20100401103716
Kanghaju,20170323063703,20131125000415
Urvi,20170107081809,20170103081509
Charles I of Romania,20170324070411,20030503011107
Periodontal disease,20170324124624,20070118032624
Kerala Legislature,20170324130647,20060311200804
Mărăști-class destroyer,20170325012459,20170311194129
William Hicks (disambiguation),20170325060104,20091106203054
Gum disease,20170325154312,20131228015315
DVTK Stadion,20170325193819,20110215071045
John Biggins (author),20170326182122,20151102141737
Mabo v Queensland,20170327085210,20090401043002
Barzani Charity Foundation,20170327112427,20160723122827
"Bourton, CHerwell",20170327142149,20071111022743
Vegetable Production System (Veggie),20170327155014,20170324012939
Adam Stefanow,20170327160219,20170307153130
DWKY,20170328031642,20080924085729
Shallow pan of food,20170328081309,20170320112916
David Tanaka,20170328120919,20160925055947
"Polish presidential election, 2020",20170328153717,20150724213151
Philippine Competition Commission,20170328164237,20160614021715
Robert Barber,20170328195632,20140113064130
Mörg eru ljónsins eyru,20170329123513,20170318133035
Hyde Square (MBTA station),20170329153850,20170326002637
FirewallD,20170329213833,20160213201711
Abbotsford Collegiate,20170329234059,20080226180441
"United States presidential election in Delaware, 1972",20170330162615,20150602210720
OFK Bačka,20170330194801,20161226014851
"United States presidential election in Indiana, 1972",20170330225557,20150602210727
Doyen Sports,20170331061807,20170302013020
Abhinandan Sekhri,20170331073009,20140909171703
The Blowfish,20170331160237,20081207212431
Ananthapadmanabhan,20170401194310,20170307080228
Best I Ever Had (State of Shock song),20170401213417,20080829200826
Tempering (Spices),20170402005517,20061014043847
Nicole Louise Pearce (Paul Luckman),20170402034311,20160618040453
HMS Mordaunt (1681),20170402044029,20080125184210
Damian O'Connor,20170402140250,20151229083901
Axel Tischer,20170402142100,20160920134719
Sylvia Burwell,20170403005722,20131224201332
MayMay Entrata,20170403122623,20170228171328
Entiat tribe,20170403161851,20080218072558
Snohomish tribe,20170403164600,20060211234736
Silver/Lead,20170403225602,20170125182326
Inguinal lymph node,20170404180051,20081123002811
Roots (Imagine Dragons song),20170404212940,20151105184124
Brachycythara beatriceae,20170405050017,20100330034002
Alexander Cherepanov,20170405160008,20121026100621
Sanjay Dutt Biopic,20170405180449,20170210062020
Dutt (2017 film),20170405180958,20170212143538
Jan Hamilton,20170405182631,20070613222716
Rixty Minutes,20170405213742,20160117225346
Biff Busick,20170406003527,20150808050732
Katihar Medical College,20170406081841,20161022182825
Aum Dorji Choden,20170406110314,20140506155307
"Fort Leonard Wood, Missouri",20170406110642,20060408191551
Fort Leonard Wood (military base),20170406111247,20080429190322
List of V-me affiliates,20170406183126,20141223063016
Liga Super,20170407065040,20131204070314
K (New York City Subway service),20170407201613,20081123162616
Sjømannsskolen (station),20170407214212,20090319202158
Raw meatball,20170408025408,20160815150558
"North Hamilton Elementary School (Jennings, Florida)",20170408085614,20080119174332
Batagur (genus),20170409033856,20101220225336
Cubeb,20170409060133,20060108211215
2015 EuroPro Tour,20170409072443,20151030171523
School of the Nations (Bahá'í – Macau),20170409075316,20080106173119
Marcelo Montoya (rugby league),20170409225737,20161013154245
Xander Cage,20170410042339,20170408182256
Piala FA,20170410093135,20090902044611
Kelvin Adou,20170410220726,20160816104744
Perrie Edwards (singer),20170411090348,20111211143407
Monterey Home Video,20170411122711,20130309022602
Rochester Lancers (NPSL),20170411182143,20160918171410
Sanzinia madagascariensis,20170412122328,20060418230402
Ingénue (stock character),20170412122758,20060609215935
"River Place, Detroit",20170413163927,20081122191944
2012 Ford World Women's Curling Championship,20170413175506,20110425022328
"Jezero, Jajce",20170414134854,20100817030635
List of shopping malls in Zamboanga City,20170416122603,20090304021006
Walter Murray Collegiate Institute,20170416220009,20060413024012
List of communes of the Metropolitan City of Naples,20170417081440,20150225024022
Kim Yeri,20170417103123,20170402115711
Helsfyr-Sinsen,20170417155153,20070715163550
RotorWay International,20170417221528,20091103165243
Zeller,20170418024832,20081127043023
Hafu (video game player),20170328235908,20120630184718
Wampanoag people,20170418201235,20040414170154
Annica Nsiah Apau,20170418203651,20170313215729
Dinobot,20170418210627,20060629051352
Aneta Udriștoiu,20170419093208,20130919002214
List of Ben 10 episodes,20170419234742,20060122073720
Spongebubble94/sandbox,20170420015517,20170411204253
Francisco Morales Bermúdez,20170420034611,20050324013554
Indigenous rights to land along rivers,20170420055126,20170217032035
Malfouf salad,20170420081100,20170418161714
Sora (given name),20170420100347,20140415184254
Umm at-Tut,20170420120136,20080625022743
Fernando Ortiz (disambiguation),20170421025948,20120705092817
Malankara Mar Thoma Syrian Church,20170421053245,20160704072254
Emberá people,20170421134543,20131213211727
Live-action wargame,20170422020758,20081002204656
Southern Myanmar United F.C.,20170422081619,20110830054404
Zayar Shwe Myay F.C.,20170422081627,20110831010743
Trout Lake Airport (Washington),20170422103928,20121202171815
Henrique Capriles Radonski,20170423153252,20060916234751
David Cochrane,20170423162151,20060831201629
Districts of Jambi,20170423200037,20090324205958
Districts of Lampung,20170423200135,20090324210715
Districts of the Riau Islands,20170423200314,20090326121618
Districts of South Sumatra,20170423200406,20090326121718
Saint Thomas Christian Churches,20170424092154,20111213023647
Nugent-RajanBabu reagent,20170424105641,20170422081828
Peter Griffin (Family Guy character),20170424164324,20090426060140
Saffron/Archive 2,20170424172639,20051227195913
Surf bream,20170424233744,20080322101509
Notropis girardi,20170425020207,20120819135830
Dialogue (A Journal of Mormon Thought),20170425165039,20060823185816
98.6 (disambiguation),20170426050552,20080306192742
Mad hatter disease,20170427063548,20071018213306
Disney XD India,20170427143039,20160925060118
Mbira dzeNharira,20170428155720,20170427134834
K. Wah Group,20170428211404,20170328080850
Algeria,20011031233124,20010713184732
Alchemy,20011106213356,20011002233940
Abacus,20011102145545,20010626231522
Ambiguity,20011019224943,20010919212309
Albert Einstein,20011105182616,20011008162423
Axiom,20011101082733,20010521200232
Azincourt,20011114145339,20010821170157
Agma,20011030195113,20010531052738
Algebraic number,20010808131339,20010725170351
Automorphism,20010820222656,20010722215558
Angle,20011113032651,20010830175429
Alternate history,20011008202827,20010824062557
Alan Turing,20011112193934,20010827031942
Atomic bomb,20011109044636,20010730094148
Army,20010923214424,20010810145839
ALGOL,20010826230219,20010816155733
Apollo program,20010924121744,20010817100938
Ainu people,20011203110758,20011030005308
Antipope,20011022125047,20010828134530
Annealing,20010920130639,20010915004236
Achaeans (Homer),20010930162140,20010925225627
Delian League,20011022201534,20010928024357
Atlantis,20011106171513,20011007152234
Autochthones,20011022200453,20011020234317
Audio signal processing,20011112091022,20011104140226
Adamic language,20011114221353,20011025133642
Arithmetic,20020105220055,20011227222432
Anomalous phenomenon,20010809171458,20010323204449
BE,20010510225409,20010507103453
Baseball,20011101203723,20011016132930
List of major biblical figures,20011018070729,20010803215822
Basketball,20011114173715,20010924115044
Binary operation,20011027202311,20010809231130
Bagpipes,20010926152013,20010726092918
Biochemistry,20011110091735,20010831003451
Baroque,20011020221128,20010817230845
Bipolar Disorder,20011031000633,20011029234642
BCPL,20010818022731,20010814152015
Battleship,20011108144444,20010818142104
Brainfuck,20011112144506,20010908175952
Outline of biology,20011214192714,20011026004319
Computing,20010829140455,20010727190917
Country music,20011002151410,20010705195703
Software,20011018135109,20010722092353
Country code,20011117174859,20011113002829
Cladistics,20010923194312,20010411174439
Physical cosmology,20011002044753,20010522145308
Consequentialism,20011108170012,20010306035220
Compiler,20011026060803,20010930124344
History of China,20011009182944,20010919051404
Confucius,20011021230349,20010930032444
Cryptozoology,20011028131102,20011026235934
Computer jargon,20010930064012,20010727134103
Cultural movement,20010927185214,20010818200138
Celtic languages,20011119230941,20010821054324
Color,20011101042718,20010814204745
Christian eschatology,20011014133207,20010927070117
Comet,20011105011623,20011014221922
Cinema,20010803183518,20010730204255
Chomsky hierarchy,20011209231509,20010828151817
Campaign for Real Ale,20011009192045,20010905192636
Cornish language,20011024090731,20010820060628
Complexity theory,20011025171430,20010822124647
Cardinal,20011013190710,20010821224650
List of cartoonists,20010913015136,20010904195335
Cultural imperialism,20011019134857,20010928052144
Class,20011025001634,20010909182235
Classical element,20010922231709,20010911011426
Canadian English,20011103210054,20011018203411
Charles Martel,20011203214940,20011011185024
Classical liberalism,20011012160819,20011007000352
Coca-Cola,20011106043946,20011004062456
Couscous,20011017081850,20011009230814
Chiang Kai-shek,20011025121156,20011023195120
Computer mouse,20011109163646,20011031170114
Dictionary,20011111193032,20010720213642
Diamond,20011112162524,20011108043226
Dartmoor,20010914152902,20010907233917
Definition of music,20011105095236,20010918032604
Depth of field,20010906202037,20010830215721
Decibel,20011001181850,20010925005725
Tao Te Ching,20011106100302,20010629162805
Diffraction,20011115211905,20011008164356
Lists of deities,20011101070907,20010811142440
Europe,20011001092059,20010821124320
Education,20011107162334,20010810213550
Equivalence relation,20011009214321,20010713142528
Ether,20011104114802,20010910030055
Euthanasia,20011014132954,20010809074011
Extraterrestrial life,20011002044302,20010903023125
Education reform,20011006011329,20010904234140
Exponential function,20010901120645,20010818040740
Ecumenical council,20011026182525,20010920133256
Emma Goldman,20010918175928,20010917051503
Equation of state,20010823185623,20010808011058
Evoluon,20011107175727,20011031220147
Timeline of the evolutionary history of life,20011117151102,20011106003623
FootBall,20010406002658,20010208210154
Frisian languages,20011015164426,20010911122021
Free will and determinism,20010930205014,20010726034255
Folk music,20011101135601,20010918032235
Fullerene,20011024174423,20010730214011
History of film,20011026202037,20010927144512
List of programmers,20010903213438,20010830064600
Freyja,20011027163807,20010903184909
Fat,20010920145929,20010904163455
Fortran,20011002104445,20010806194014
Falsifiability,20011113035227,20011105224259
Folk dance,20010803225449,20010731211447
Guitar,20011114015721,20010713185451
Global Positioning System,20010919171042,20010904185944
Greek language,20011021005423,20010727172042
History of geometry,20011110141552,20010322041410
General relativity,20011101194947,20010918151817
Golden Gate Bridge,20011026203141,20010727164757
Guglielmo Marconi,20010704151311,20010521203844
Gamma function,20010809145622,20010629104743
Genetic code,20011025181038,20011013201520
Golden ratio,20011111131057,20011106231203
Google Search,20011030121713,20011016192950
Guanine,20010815082042,20010813151430
Gnosticism,20011021085341,20010821105349
Gender and sexuality studies,20011112142350,20011026140614
Group action,20011102154934,20011028161339
Garry Kasparov,20010821084730,20010616190141
GNU Hurd,20011106173422,20010819095408
Hebrew alphabet,20011109131503,20011020093001
Huns,20011110192214,20010611223639
History of Western philosophy,20011103210451,20010622054349
Hinduism,20011107185900,20010829154503
Historian,20011030022224,20010908163421
History of Egypt,20011012120329,20010826084756
History of computing hardware,20011028174645,20010906235418
History of physics,20010919210618,20010917192056
Halon,20020225154311,20010923061057
Heapsort,20011108222051,20011029165420
History of Africa,20011110220233,20011109195900
Hanseatic League,20011110035223,20011108160845
Republic of Ireland,20011014140753,20010917092807
Isaac Asimov,20010829035227,20010208031848
Irish Republican Army (1919–22),20010918135555,20010721211350
Islamic calendar,20011108052012,20010803145739
Interstellar travel,20011005204845,20011004191906
Incest,20011105152122,20010909102640
Interlingua,20010921082651,20010413171726
Japan,20011031230435,20010813170134
John Paul II,20010816161648,20010629132846
John Lennon,20011025221954,20010925161902
John Wilkes Booth,20011024162703,20010802024840
John Napier,20010905134806,20010824120539
Kuleshov experiment,20011017163409,20010905055551
Kurt Cobain,20010928190643,20010612174309
Ku Klux Klan,20011028162823,20011004093236
Karma,20011021001428,20010928021851
MV Wilhelm Gustloff,20011019025616,20011010074503
Language translation,20011018062146,20010415135117
Relativist fallacy,20010522135852,20010518065904
Limestone,20010802153512,20010623050219
Logarithm,20010824190652,20010818230552
Leonhard Euler,20010810163826,20010801234930
Led Zeppelin,20010816094652,20010711230333
Lake Tana,20011015131526,20010731192308
Light,20011110064652,20011103121757
Little Nemo,20010903011005,20010824230503
Liverpool,20010909202356,20010908164451
Lagrangian Point,20011016005251,20010919141719
Lambda calculus,20011105150117,20011018203308
Linear algebra,20010816131421,20010630174541
Morpheme,20010927211649,20010515150656
Mathematical induction,20011026140130,20010719144538
Metaphysics,20011015161606,20010505052316
Mersenne prime,20011007235222,20010731200458
Mapping,20010816161318,20010718173414
Monty Python,20010716161606,20010406044036
Medicine,20011115030104,20010419180408
Morphology,20010929155651,20010515144401
Mormon (word),20011017171441,20010807001211
MU,20011005185848,20010615042834
Meme,20011103204356,20010524223447
Mercedes,20011025120926,20011013122107
Maxwell's equations,20011205171826,20010923074159
Memetics,20011104023309,20010825004059
MIPS architecture,20011105105807,20011004103850
Marina Tsvetaeva,20011108215600,20011006143458
Maginot Line,20011026111447,20011023235855
M-theory,20011106082616,20011030170552
Numerology,20010926030157,20010918023104
Nobel Prize,20011023191211,20011016022751
Nuremberg,20011031020902,20011025224324
Natural logarithm,20010801002625,20010722174234
North Atlantic Deep Water,20010807134712,20010803202756
Niger–Congo languages,20011104213857,20011024170531
Nostradamus,20010925050602,20010912223018
Neapolitan ice cream,20011029232349,20011026194624
Operation Sea Lion,20010920062529,20010619130638
Odyssey,20011111042207,20010929200117
OS Advocacy,20010906171350,20010728111738
Old English literature,20011015210433,20011014205909
Poetry,20011112181529,20010809154736
Polish language,20010816164624,20010815152951
Politics,20011104122852,20011017163601
Programming language,20011109181513,20010929131009
Propaganda,20011007031733,20010918154410
Printing press,20011014053353,20010912133639
Political liberalism,20011010021435,20010612171048
Poison ivy rash,20010922151600,20010712172952
Phases,20011030153447,20010826132150
Parthenon,20010926145102,20010821134327
Timeline of programming languages,20010825195855,20010824130720
PL/I,20011106165946,20010808122419
Pokémon,20011030002833,20011027132337
Paint,20010921175714,20010822005358
Patanjali,20011019192137,20011018015638
Prism (disambiguation),20011002214735,20010908202531
Polymorphism,20011012113802,20010922045035
Platonic solid,20010920020735,20010908205411
Palestinian Christians,20011012190523,20011004082647
Pablo Picasso,20011012190339,20010927142224
Profession,20011025115748,20011023180033
Poll tax,20011104203519,20011103095803
Richard Feynman,20011107174656,20010901182028
Raster graphics,20010924215724,20010823191346
Robertson Davies,20011207155204,20010727141535
Ruby (programming language),20011017134557,20010729041955
Retrovirus,20010807095842,20010803160500
Red,20011031205419,20011008161847
Roman Kingdom,20011022041357,20010830152507
Homosexuality and religion,20011008025014,20011004052314
Revelation,20011016150923,20011015121856
Robots in fiction,20020202050502,20011025191800
Romani people,20011115040445,20011112201043
Rhombicuboctahedron,20020225154311,20011109080726
Seafood,20010713154227,20010515151750
SI derived unit,20011024034720,20010814141542
Solar System,20011107042451,20010802171642
Stephen King,20010925151406,20010610183721
Sexism,20010524223952,20010521015415
Skinhead,20010904191632,20010722182504
Supernova,20011119194216,20011116155936
Satanism,20011112113454,20011111073458
List of science fiction awards,20010929033828,20010729090827
Spectroscopy,20011111191253,20010903003650
Sleep and learning,20010818163451,20010815163309
Stephen Jay Gould,20011010035920,20010818232534
Slingman,20010910202152,20010825070545
Septuagint,20011025193542,20011019013251
Spider-Man,20011006132920,20010829011603
U.S. government response to the September 11 attacks,20011010171748,20010924113938
Sociology of religion,20011020063354,20010825210252
Submarine,20011109181630,20011107235959
Shiva,20010821083439,20010818045357
"Sacramento, California",20020214203316,20020107062757
Television,20011104100238,20010911052305
Tea,20010926005241,20010817172007
Thule (disambiguation),20010618002950,20010518073150
The Terminator,20010723110036,20010718114509
Total order,20010821104430,20010719155244
Tetris,20010823085813,20010813215032
TSR,20010803151212,20010801205650
Turing machine,20010820171346,20010818154919
Theory of everything,20011006185143,20010929195335
Tollund Man,20011028000904,20010813103145
Tom Waits,20010910173426,20010819201644
Temple in Jerusalem,20011002023242,20010822160428
The Origins and Commencement of World War II,20011001151235,20010824235412
12 Monkeys,20010924180109,20010903195328
Tree of life,20010924230702,20010923194826
Top-level domain,20011113011944,20010727082031
The Hitchhiker's Guide to the Galaxy,20011117231745,20011026053531
United Kingdom,20011102173650,20010913060554
Udo of Aachen,20010818164537,20010801010721
United States Declaration of Independence,20011009170955,20010904000022
U-boat,20010803213916,20010728213722
List of metro systems,20011024161413,20010908160447
Unix shell,20011107103850,20010926113822
Coins of the United States dollar,20020215173444,20011031194942
Verlan,20010803024047,20010322081639
Virtual machine,20010929224107,20010928160213
Virgil,20010810204757,20010316234900
Vampire,20011031172744,20010713190950
Video games,20011121151903,20010331151423
Vim (text editor),20010727144347,20010628215643
Vitamin,20011016141550,20010818005213
Valhalla,20010818092115,20010815221111
World music,20010604230331,20010515151437
Wolfgang Amadeus Mozart,20011029093128,20010508043029
WorldForge,20010815094913,20010613054829
Wave,20011022200954,20010822203717
White trash,20011019054435,20010910040331
Blog,20011101012741,20010927231505
List of national capitals in alphabetical order,20011112200305,20011017154707
Wulfstan of Hedeby,20011216014443,20011115190417
Yahoo (Gulliver's Travels),20010808221356,20010403001813
Yellow fever,20010617205258,20010612193637
Infectious disease in the 20th century,20010817152131,20010516175417
Opencola,20020215042454,20020131131548
Offa's Dyke,20020225155115,20020204040034
Spiro Agnew,20020225155115,20020213171228
Bacillus cereus,20020225155115,20020220213624
Carl Jung,20011030234649,20010624154030
Estrid of the Obotrites,20020302181236,20020228143714
"Conrad II, Holy Roman Emperor",20020208145748,20020114233935
Big O notation,20020225155115,20011022014259
CP/M,20011018152710,20011009103952
3753 Cruithne,20020225154311,20011204150923
Buffy the Vampire Slayer,20011024012132,20010930012229
Cosmic ray,20020404181724,20010903203111
Road transport,20010914003009,20010806202526
San Francisco,20011113043040,20010926163053
Alexandra Feodorovna (Alix of Hesse),20020420230354,20011114002234
Single-occupancy vehicle,20020225155115,20020118232155
Probability and statistics,20010630065020,20010621044614
Hyperreal number,20010930051524,20010712045323
Surreal number,20010926163407,20010817185519
Idiolect,20020518074507,20020311034305
The Wizard of Oz,20040329024739,20040313090726
Philippines/The Constitution,20020601202952,20020304072953
Mössbauer effect,20020225155115,20011002035924
Disability,20010805164031,20010417233518
Linear span,20020225154311,20010630202226
DJ,20020616013436,20020225154311
Tehran,20020616231419,20020614095744
Battle of Britain,20010921231324,20010904204433
Battle of Tannenberg,20020225155115,20011203163108
List of places and things named Paris,20020709231302,20020708134517
Trilobite,20010809075524,20010405002115
Closure (computer programming),20020716031038,20020403094638
History of the United States,20020608082837,20010923084333
Joseph Mobutu,20040130001815,20030811043054
Alan Bush,20020725214048,20020516080415
Transportation of Denmark,20020726215727,20020725195121
The Military in Iceland,20020730141128,20020725220449
Magnoliopsida,20020803020211,20020609205309
Magnoliophyta,20020803021845,20020307193627
IsaacAsimov,20020803164737,20020225154311
Somalia/Government,20020804104810,20020225154311
List of sovereign states,20011112195527,20011102160556
Region (France),20020807014843,20020802141823
C++,20011111001945,20011104053427
Mass murder,20020817161311,20020807114658
AppleTalk address resolution protocol,20020819151115,20020704144145
Manhattan (borough),20020823111853,20020322201726
Apple Lisa,20020828120428,20020725082157
New Keynesian economics,20020904063234,20020828120409
Echidna,20020904100600,20020225154311
"Boleslaus I, Duke of Bohemia",20020904192758,20011111155047
Diesel fuel,20020907044141,20020527123704
Fictional universe,20020911111612,20020602140007
Centrifugal governor,20020911211919,20020907182030
Mary-Kate and Ashley Olsen,20020919073719,20020907085720
Bytecode,20020923201603,20011219182915
Karttikeya,20040324121428,20040316194642
Kilo Ali,20021009020214,20020827121930
Foundation ontology,20021013220529,20020328102345
"Burbank, California",20021018141027,20020906225533
Washington sniper,20021023012335,20021018184906
Joseph Swan,20021025123625,20020807190814
"Brown Deer, Wisconsin",20021026002955,20021014181121
Berger Roy Al,20021026044908,20020924064105
Lake District,20021103212514,20020920090630
Free music,20021106133720,20020620200957
420 (cannabis culture),20021110165118,20020402145306
The Grateful Dead,20021204014314,20020817143459
Heian period,20021205045025,20021119141405
Ithaca (disambiguation),20021210034935,20020710115433
Battle of Ardennes (1944),20021211225907,20020618002706
Robert Guiscard,20021214115901,20021005144915
Duration (music),20030102151035,20021212153529
Gravity wave,20030102235536,20020601203754
Royal we,20030104103422,20030102154156
Sierra Nevada,20030105205330,20021103201112
Force (physics),20030115164907,20011103034505
Umpire,20030120180643,20021219181001
Isotopes,20030125060616,20020422225321
Modern World,20030131075336,20030129115419
Disobbedienti,20030203100207,20030121121058
INTP,20030204165341,20021107162649
Anarcho-pacifism,20030206022430,20030120022813
Scholarship,20030207142548,20010206220117
Jim Clark (disambiguation),20030211143150,20020713152000
Gulf War (disambiguation),20030211205720,20030209183649
Kahlil Gibran,20030211231447,20030108041717
Marmalade Boy,20030212062543,20020722072818
Pennsylvania German,20030220024546,20030206024949
Joy,20150426005554,20050910220448
British Nationality Law,20030225222819,20010816125046
Japanese internment,20030226143329,20030219221609
Congo Free State,20030302005932,20021222020749
Erich von Däniken,20030303163629,20020711201804
Postmodern art,20030305142137,20030214064812
9-11 domestic conspiracy theory,20030306214602,20030305080333
Mixing console,20030308041043,20030303135301
Diet of Worms,20030312171643,20021203162246
Harry S Truman,20030321052157,20021130194807
Lois Lowry,20030322172842,20020417152223
Timeline of Afghanistan (March 2003),20030323171518,20030307061419
Tariq Aziz,20030324041649,20030322141919
Zeppelin bend,20030410143632,20030129211813
Mehmed V,20030411065537,20021223224810
Oulu,20030411124308,20030316033123
List of rivers of Russia,20030425192242,20030208042823
List of bibliographies,20030426233240,20030312200705
